unix_ms,memory_current,file,anon,sock,slab,kernel
1785862482312,3719168,0,2961408,0,356144,757760
1785862483314,3719168,0,2961408,0,356144,757760
1785862484314,3719168,0,2961408,0,356144,757760
1785862485314,3719168,0,2961408,0,356144,757760
1785862486314,3719168,0,2961408,0,356144,757760
1785862487314,3719168,0,2961408,0,356144,757760
1785862488314,3719168,0,2961408,0,356144,757760
1785862489314,3719168,0,2961408,0,356144,757760
1785862490314,3719168,0,2961408,0,356144,757760
1785862491314,3719168,0,2961408,0,356144,757760
