unix_ms,memory_current,file,anon,sock,slab,kernel
1785884361509,3575808,65536,2748416,0,357232,761856
1785884362512,3575808,65536,2748416,0,357232,761856
1785884363512,3575808,65536,2748416,0,357232,761856
1785884364512,3575808,65536,2748416,0,357232,761856
1785884365512,3575808,65536,2748416,0,357232,761856
1785884366512,3575808,65536,2748416,0,357232,761856
1785884367512,3575808,65536,2748416,0,357232,761856
1785884368512,3575808,65536,2748416,0,357232,761856
1785884369512,3575808,65536,2748416,0,357232,761856
1785884370511,3575808,65536,2748416,0,357232,761856
