unix_ms,memory_current,file,anon,sock,slab,kernel
1785884296493,3694592,0,2998272,0,342496,696320
1785884297495,3694592,0,2998272,0,342496,696320
1785884298495,3694592,0,2998272,0,342496,696320
1785884299496,3694592,0,2998272,0,342496,696320
1785884300495,3694592,0,2998272,0,342496,696320
1785884301495,3694592,0,2998272,0,342496,696320
1785884302495,3694592,0,2998272,0,342496,696320
1785884303496,3694592,0,2998272,0,342496,696320
1785884304495,3694592,0,2998272,0,342496,696320
1785884305496,3694592,0,2998272,0,342496,696320
1785884306495,3694592,0,2998272,0,342496,696320
1785884307495,3694592,0,2998272,0,342496,696320
1785884308496,3694592,0,2998272,0,342496,696320
1785884309495,3694592,0,2998272,0,342496,696320
1785884310495,3694592,0,2998272,0,342496,696320
1785884311496,3694592,0,2998272,0,342496,696320
1785884312495,3694592,0,2998272,0,342496,696320
1785884313496,3694592,0,2998272,0,342496,696320
1785884314496,3694592,0,2998272,0,342496,696320
1785884315496,3694592,0,2998272,0,342496,696320
1785884316495,3694592,0,2998272,0,342496,696320
1785884317495,3694592,0,2998272,0,342496,696320
1785884318495,3694592,0,2998272,0,342496,696320
1785884319495,3694592,0,2998272,0,342496,696320
1785884320496,3694592,0,2998272,0,342496,696320
1785884321496,3694592,0,2998272,0,342496,696320
1785884322494,3694592,0,2998272,0,342496,696320
1785884323495,3694592,0,2998272,0,342496,696320
1785884324495,3694592,0,2998272,0,342496,696320
1785884325495,3694592,0,2998272,0,342496,696320
1785884326495,3694592,0,2998272,0,342496,696320
1785884327496,3694592,0,2998272,0,342496,696320
1785884328495,3694592,0,2998272,0,342496,696320
1785884329495,3694592,0,2998272,0,342496,696320
1785884330496,3694592,0,2998272,0,342496,696320
1785884331496,3694592,0,2998272,0,342496,696320
1785884332496,3694592,0,2998272,0,342496,696320
1785884333495,3694592,0,2998272,0,342496,696320
1785884334496,3694592,0,2998272,0,342496,696320
1785884335495,3694592,0,2998272,0,342496,696320
1785884336496,3694592,0,2998272,0,342496,696320
1785884337495,3694592,0,2998272,0,342496,696320
1785884338495,3694592,0,2998272,0,342496,696320
1785884339496,3694592,0,2998272,0,342496,696320
1785884340496,3694592,0,2998272,0,342496,696320
1785884341496,3694592,0,2998272,0,342496,696320
1785884342496,3694592,0,2998272,0,342496,696320
1785884343495,3694592,0,2998272,0,342496,696320
1785884344496,3694592,0,2998272,0,342496,696320
1785884345495,3694592,0,2998272,0,342496,696320
1785884346496,3694592,0,2998272,0,342496,696320
1785884347495,3694592,0,2998272,0,342496,696320
1785884348495,3694592,0,2998272,0,342496,696320
1785884349496,3694592,0,2998272,0,342496,696320
1785884350496,3694592,0,2998272,0,342496,696320
1785884351496,3702784,0,2998272,0,342496,696320
1785884352495,3702784,0,3006464,0,342496,696320
1785884353495,3702784,0,3006464,0,342496,696320
1785884354496,3702784,0,3006464,0,342496,696320
1785884355495,3702784,0,3006464,0,342496,696320
