unix_ms,memory_current,file,anon,sock,slab,kernel
1785909985266,3452928,0,2695168,0,356952,757760
1785909986268,3452928,0,2695168,0,356952,757760
1785909987268,3452928,0,2695168,0,356952,757760
1785909988269,3452928,0,2695168,0,356952,757760
1785909989268,3452928,0,2695168,0,356952,757760
1785909990269,3452928,0,2695168,0,356952,757760
1785909991269,3452928,0,2695168,0,356952,757760
1785909992268,3452928,0,2695168,0,356952,757760
1785909993268,3452928,0,2695168,0,356952,757760
1785909994268,3452928,0,2695168,0,356952,757760
