unix_ms,memory_current,file,anon,sock,slab,kernel
1785910563778,3522560,0,2818048,0,342744,704512
1785910564781,3522560,0,2818048,0,342744,704512
1785910565780,3522560,0,2818048,0,342744,704512
1785910566781,3522560,0,2818048,0,342744,704512
1785910567780,3522560,0,2818048,0,342744,704512
1785910568780,3522560,0,2818048,0,342744,704512
1785910569781,3522560,0,2818048,0,342744,704512
1785910570780,3522560,0,2818048,0,342744,704512
1785910571780,3522560,0,2818048,0,342744,704512
1785910572780,3522560,0,2818048,0,342744,704512
1785910573781,3522560,0,2818048,0,342744,704512
1785910574782,3522560,0,2818048,0,342744,704512
1785910575781,3522560,0,2818048,0,342744,704512
1785910576780,3522560,0,2818048,0,342744,704512
1785910577781,3522560,0,2818048,0,342744,704512
1785910578781,3522560,0,2818048,0,342744,704512
1785910579780,3522560,0,2818048,0,342744,704512
1785910580780,3522560,0,2818048,0,342744,704512
1785910581782,3522560,0,2818048,0,342744,704512
1785910582780,3522560,0,2818048,0,342744,704512
1785910583781,3522560,0,2818048,0,342744,704512
1785910584780,3522560,0,2818048,0,342744,704512
1785910585780,3522560,0,2818048,0,342744,704512
1785910586781,3522560,0,2818048,0,342744,704512
1785910587780,3522560,0,2818048,0,342744,704512
1785910588780,3522560,0,2818048,0,342744,704512
1785910589780,3522560,0,2818048,0,342744,704512
1785910590780,3522560,0,2818048,0,342744,704512
1785910591780,3522560,0,2818048,0,342744,704512
1785910592779,3522560,0,2818048,0,342744,704512
1785910593781,3522560,0,2818048,0,342744,704512
1785910594781,3522560,0,2818048,0,342744,704512
1785910595781,3522560,0,2818048,0,342744,704512
1785910596781,3522560,0,2818048,0,342744,704512
1785910597780,3522560,0,2818048,0,342744,704512
1785910598781,3522560,0,2818048,0,342744,704512
1785910599781,3522560,0,2818048,0,342744,704512
1785910600780,3522560,0,2818048,0,342744,704512
1785910601780,3522560,0,2818048,0,342744,704512
1785910602780,3522560,0,2818048,0,342744,704512
1785910603780,3522560,0,2818048,0,342744,704512
1785910604780,3522560,0,2818048,0,342744,704512
1785910605780,3522560,0,2818048,0,342744,704512
1785910606780,3522560,0,2818048,0,342744,704512
1785910607781,3522560,0,2818048,0,342744,704512
1785910608779,3522560,0,2818048,0,342744,704512
1785910609780,3522560,0,2818048,0,342744,704512
1785910610780,3522560,0,2818048,0,342744,704512
1785910611780,3522560,0,2818048,0,342744,704512
1785910612781,3522560,0,2818048,0,342744,704512
1785910613781,3522560,0,2818048,0,342744,704512
1785910614780,3522560,0,2818048,0,342744,704512
1785910615780,3522560,0,2818048,0,342744,704512
1785910616781,3522560,0,2818048,0,342744,704512
1785910617781,3522560,0,2818048,0,342744,704512
1785910618780,3522560,0,2818048,0,342744,704512
1785910619781,3522560,0,2818048,0,342744,704512
1785910620780,3522560,0,2818048,0,342744,704512
1785910621780,3522560,0,2818048,0,342744,704512
1785910622780,3522560,0,2818048,0,342744,704512
