unix_ms,memory_current,file,anon,sock,slab,kernel
1785906106979,3616768,0,2854912,0,356992,761856
1785906107981,3616768,0,2854912,0,356992,761856
1785906108981,3616768,0,2854912,0,356992,761856
1785906109981,3616768,0,2854912,0,356992,761856
1785906110981,3616768,0,2854912,0,356992,761856
1785906111981,3616768,0,2854912,0,356992,761856
1785906112981,3616768,0,2854912,0,356992,761856
1785906113981,3616768,0,2854912,0,356992,761856
1785906114983,3616768,0,2854912,0,356992,761856
1785906115981,3616768,0,2854912,0,356992,761856
