unix_ms,memory_current,file,anon,sock,slab,kernel
1785906358987,48340992,0,45895680,0,1925144,2428928
1785906359989,48332800,0,45903872,0,1925144,2428928
1785906360990,48332800,0,45903872,0,1925144,2428928
1785906361990,48332800,0,45903872,0,1925144,2428928
1785906362990,48332800,0,45903872,0,1925144,2428928
1785906363990,48332800,0,45903872,0,1925144,2428928
1785906364989,48332800,0,45903872,0,1925144,2428928
1785906365989,48332800,0,45903872,0,1925144,2428928
1785906366990,48332800,0,45903872,0,1925144,2428928
1785906367989,48332800,0,45903872,0,1925144,2428928
1785906368990,48332800,0,45903872,0,1925144,2428928
1785906369990,48332800,0,45903872,0,1925144,2428928
1785906370989,48332800,0,45903872,0,1925144,2428928
1785906371989,48332800,0,45903872,0,1925144,2428928
1785906372989,48332800,0,45903872,0,1925144,2428928
1785906373990,48332800,0,45903872,0,1925144,2428928
1785906374990,48332800,0,45903872,0,1925144,2428928
1785906375989,48332800,0,45903872,0,1925144,2428928
1785906376989,48332800,0,45903872,0,1925144,2428928
1785906377989,48332800,0,45903872,0,1925144,2428928
1785906378990,48394240,0,45903872,0,1925144,2428928
1785906379989,48394240,0,45903872,0,1925144,2428928
1785906380990,48394240,0,45965312,0,1925144,2428928
1785906381989,48394240,0,45965312,0,1925144,2428928
1785906382990,48394240,0,45965312,0,1925144,2428928
1785906383990,48394240,0,45965312,0,1925144,2428928
1785906384989,48394240,0,45965312,0,1925144,2428928
1785906385989,48394240,0,45965312,0,1925144,2428928
1785906386989,48394240,0,45965312,0,1925144,2428928
1785906387990,48394240,0,45965312,0,1925144,2428928
1785906388990,48394240,0,45965312,0,1925144,2428928
1785906389990,48394240,0,45965312,0,1925144,2428928
1785906390989,48394240,0,45965312,0,1925144,2428928
1785906391989,48394240,0,45965312,0,1925144,2428928
1785906392990,48394240,0,45965312,0,1925144,2428928
1785906393989,48394240,0,45965312,0,1925144,2428928
1785906394989,48394240,0,45965312,0,1925144,2428928
1785906395989,48394240,0,45965312,0,1925144,2428928
1785906396989,48394240,0,45965312,0,1925144,2428928
1785906397989,48394240,0,45965312,0,1925144,2428928
1785906398989,48439296,0,45965312,16384,1925144,2428928
1785906399990,48394240,0,45965312,16384,1925144,2428928
1785906400989,48394240,0,45965312,0,1925144,2428928
1785906401989,48394240,0,45965312,0,1925144,2428928
1785906402989,48394240,0,45965312,0,1925144,2428928
1785906403988,48394240,0,45965312,0,1925144,2428928
1785906404990,48394240,0,45965312,0,1925144,2428928
1785906405989,48394240,0,45965312,0,1925144,2428928
1785906406989,48394240,0,45965312,0,1925144,2428928
1785906407990,48394240,0,45965312,0,1925144,2428928
1785906408989,48394240,0,45965312,0,1925144,2428928
1785906409990,48394240,0,45965312,0,1925144,2428928
1785906410989,48394240,0,45965312,0,1925144,2428928
1785906411989,48394240,0,45965312,0,1925144,2428928
1785906412989,48394240,0,45965312,0,1925144,2428928
1785906413990,48394240,0,45965312,0,1925144,2428928
1785906414990,48394240,0,45965312,0,1925144,2428928
1785906415989,48394240,0,45965312,0,1925144,2428928
1785906416989,48394240,0,45965312,0,1925144,2428928
1785906417989,48394240,0,45965312,0,1925144,2428928
